campaign_id,date,platform,ad_type,target_audience,ad_spend,impressions,clicks,conversions,revenue,cpm,ctr,cvr,cpc,cpa,roas,hour,time_period
CMP_20240102_007,2024-01-02,Xigua,Video Ad,26-35 Male,27825.17,2191362,92394,11477,3472757.05,12.7,0.0422,0.1242,0.3,2.42,124.81,8,morning
CMP_20240102_008,2024-01-02,Douyin,Search Ad,18-25 Male,29874.42,1129645,40400,2167,368263.81,26.45,0.0358,0.0537,0.74,13.79,12.33,0,late night
CMP_20240102_009,2024-01-02,Xigua,Splash Ad,18-25 Male,16235.44,636498,19693,986,192861.6,25.51,0.0309,0.0501,0.82,16.47,11.88,22,evening
CMP_20240102_010,2024-01-02,Toutiao,Brand Ad,18-25 Female,35462.8,1486766,40419,2863,675986.15,23.85,0.0272,0.0709,0.88,12.39,19.06,22,evening
CMP_20240102_011,2024-01-02,Toutiao,Brand Ad,18-25 Female,35081.68,1318272,33371,2110,764107.03,26.61,0.0253,0.0632,1.05,16.63,21.78,13,afternoon
CMP_20240102_012,2024-01-02,Toutiao,Video Ad,26-35 Male,15505.82,860988,15865,1241,285759.68,18.01,0.0184,0.0783,0.98,12.49,18.43,21,evening
CMP_20240102_013,2024-01-02,Toutiao,Splash Ad,36-45 Female,12259.3,971314,16913,1517,626212.87,12.62,0.0174,0.0897,0.72,8.08,51.08,11,morning
CMP_20240102_014,2024-01-02,Douyin,Video Ad,36-45 Female,7325.68,285856,9608,1123,530051.73,25.63,0.0336,0.1169,0.76,6.52,72.36,9,morning
CMP_20240102_015,2024-01-02,Toutiao,Brand Ad,18-25 Male,17756.37,937688,24701,1229,229969.96,18.94,0.0263,0.0498,0.72,14.45,12.95,8,morning
CMP_20240102_016,2024-01-02,Douyin,In-feed Ad,18-25 Female,46184.62,1936701,54656,4821,820452.15,23.85,0.0282,0.0882,0.85,9.58,17.76,0,late night
CMP_20240102_017,2024-01-02,Douyin,Search Ad,36-45 Female,37851.77,2372508,57531,4940,1119659.83,15.95,0.0242,0.0859,0.66,7.66,29.58,4,late night
CMP_20240102_018,2024-01-02,Xigua,In-feed Ad,36-45 Female,30519.28,1312175,26998,2073,838321.46,23.26,0.0206,0.0768,1.13,14.72,27.47,0,late night
CMP_20240102_019,2024-01-02,Toutiao,Search Ad,46-55 User,4778.18,175756,2841,158,42153.17,27.19,0.0162,0.0557,1.68,30.24,8.82,0,late night
CMP_20240102_020,2024-01-02,Douyin,Search Ad,26-35 Female,32713.3,965625,32837,3981,1435055.76,33.88,0.034,0.1213,1.0,8.22,43.87,11,morning
CMP_20240102_021,2024-01-02,Toutiao,Brand Ad,26-35 Female,7754.51,310437,8090,702,354937.39,24.98,0.0261,0.0868,0.96,11.05,45.77,10,morning
CMP_20240103_001,2024-01-03,Douyin,Brand Ad,18-25 Female,35735.3,2175827,63575,5966,790461.37,16.42,0.0292,0.0939,0.56,5.99,22.12,8,morning
CMP_20240103_002,2024-01-03,Xigua,Video Ad,18-25 Female,25598.85,1160257,53845,6569,1995063.2,22.06,0.0464,0.122,0.48,3.9,77.94,9,morning
CMP_20240103_003,2024-01-03,Douyin,In-feed Ad,55+ User,41307.56,1186654,20040,2220,887504.24,34.81,0.0169,0.1108,2.06,18.61,21.49,4,late night
CMP_20240103_004,2024-01-03,Douyin,Search Ad,46-55 User,38954.43,2283046,46386,3722,1535458.04,17.06,0.0203,0.0803,0.84,10.47,39.42,18,evening
CMP_20240103_005,2024-01-03,Douyin,Video Ad,26-35 Female,48134.37,1506889,57380,7263,2541209.7,31.94,0.0381,0.1266,0.84,6.63,52.79,14,afternoon
CMP_20240103_006,2024-01-03,Douyin,Search Ad,26-35 Male,32109.84,1231486,29974,3495,1224965.43,26.07,0.0243,0.1166,1.07,9.19,38.15,20,evening
CMP_20240103_007,2024-01-03,Toutiao,Splash Ad,46-55 User,39849.46,3090557,47370,3163,1709321.44,12.89,0.0153,0.0668,0.84,12.6,42.89,8,morning
CMP_20240103_008,2024-01-03,Toutiao,Splash Ad,26-35 Female,35074.14,1380019,30936,2081,787446.16,25.42,0.0224,0.0673,1.13,16.85,22.45,1,late night
CMP_20240103_009,2024-01-03,Douyin,Search Ad,36-45 Male,15495.26,581957,14996,1841,541428.75,26.63,0.0258,0.1228,1.03,8.42,34.94,12,afternoon
CMP_20240103_010,2024-01-03,Toutiao,Video Ad,46-55 User,20821.68,1153696,17476,964,341435.29,18.05,0.0151,0.0552,1.19,21.6,16.4,12,afternoon
CMP_20240103_011,2024-01-03,Douyin,Splash Ad,26-35 Female,30716.29,1030074,32922,3904,1495398.89,29.82,0.032,0.1186,0.93,7.87,48.68,16,afternoon
CMP_20240103_012,2024-01-03,Douyin,In-feed Ad,36-45 Female,24635.11,793601,22332,3739,1018835.3,31.04,0.0281,0.1674,1.1,6.59,41.36,20,evening
CMP_20240103_013,2024-01-03,Xigua,Video Ad,36-45 Male,11842.7,512081,12243,1346,400239.17,23.13,0.0239,0.11,0.97,8.8,33.8,0,late night
CMP_20240103_014,2024-01-03,Douyin,Brand Ad,55+ User,38169.53,1146057,23735,1395,383473.17,33.31,0.0207,0.0588,1.61,27.36,10.05,20,evening
CMP_20240103_015,2024-01-03,Toutiao,Video Ad,26-35 Female,20156.84,1141795,27258,1643,976289.99,17.65,0.0239,0.0603,0.74,12.27,48.43,21,evening
CMP_20240103_016,2024-01-03,Xigua,In-feed Ad,18-25 Male,13595.36,543363,15404,829,300712.99,25.02,0.0284,0.0538,0.88,16.4,22.12,17,afternoon
CMP_20240104_001,2024-01-04,Douyin,In-feed Ad,18-25 Female,8723.68,268146,8620,803,171424.51,32.53,0.0322,0.0932,1.01,10.86,19.65,17,afternoon
CMP_20240104_002,2024-01-04,Xigua,In-feed Ad,26-35 Male,22418.05,1238959,35618,3702,1644372.49,18.09,0.0287,0.104,0.63,6.06,73.35,2,late night
CMP_20240104_003,2024-01-04,Xigua,In-feed Ad,36-45 Male,5747.64,222470,4956,603,355946.05,25.84,0.0223,0.1219,1.16,9.53,61.93,4,late night
CMP_20240104_004,2024-01-04,Douyin,Search Ad,18-25 Female,43234.13,2167454,66924,4046,1284241.82,19.95,0.0309,0.0605,0.65,10.69,29.7,0,late night
CMP_20240104_005,2024-01-04,Douyin,Splash Ad,26-35 Female,17090.26,1106617,31930,3127,1183551.8,15.44,0.0289,0.0979,0.54,5.47,69.25,0,late night
CMP_20240104_006,2024-01-04,Toutiao,Video Ad,36-45 Male,6271.1,254209,4740,380,170296.75,24.67,0.0186,0.0803,1.32,16.5,27.16,13,afternoon
CMP_20240104_007,2024-01-04,Toutiao,Brand Ad,26-35 Male,36416.59,1664665,43660,3475,1510957.05,21.88,0.0262,0.0796,0.83,10.48,41.49,18,evening
CMP_20240104_008,2024-01-04,Xigua,Splash Ad,26-35 Female,20970.84,1091402,32285,2642,970891.53,19.21,0.0296,0.0819,0.65,7.94,46.3,3,late night
CMP_20240104_009,2024-01-04,Toutiao,In-feed Ad,18-25 Female,31449.96,2408154,69526,7247,1661163.96,13.06,0.0289,0.1042,0.45,4.34,52.82,10,morning
CMP_20240104_010,2024-01-04,Xigua,Brand Ad,46-55 User,7995.27,569109,7543,443,175733.46,14.05,0.0133,0.0587,1.06,18.05,21.98,23,evening
CMP_20240104_011,2024-01-04,Douyin,Brand Ad,55+ User,26328.27,928649,14121,921,165347.53,28.35,0.0152,0.0652,1.86,28.59,6.28,9,morning
CMP_20240104_012,2024-01-04,Douyin,Search Ad,36-45 Female,10428.61,430657,8979,890,331316.86,24.22,0.0208,0.0992,1.16,11.72,31.77,8,morning
CMP_20240104_013,2024-01-04,Toutiao,In-feed Ad,46-55 User,26232.31,1971147,44407,5562,1392151.84,13.31,0.0225,0.1253,0.59,4.72,53.07,0,late night
CMP_20240104_014,2024-01-04,Douyin,Brand Ad,36-45 Male,49381.56,1919086,50503,4250,1890184.57,25.73,0.0263,0.0842,0.98,11.62,38.28,1,late night
CMP_20240104_015,2024-01-04,Douyin,Splash Ad,36-45 Female,11648.26,659496,16747,2182,867205.18,17.66,0.0254,0.1303,0.7,5.34,74.45,17,afternoon
CMP_20240104_016,2024-01-04,Toutiao,Brand Ad,26-35 Male,11971.41,734086,15357,817,251191.57,16.31,0.0209,0.0532,0.78,14.65,20.98,11,morning
CMP_20240104_017,2024-01-04,Douyin,In-feed Ad,36-45 Male,31711.66,1109495,27851,4173,938532.3,28.58,0.0251,0.1499,1.14,7.6,29.6,1,late night
CMP_20240105_001,2024-01-05,Douyin,Video Ad,26-35 Male,22044.77,1013602,45261,4432,1028736.97,21.75,0.0447,0.0979,0.49,4.97,46.67,5,late night
CMP_20240105_002,2024-01-05,Douyin,In-feed Ad,18-25 Male,5339.05,273703,7768,832,221517.93,19.51,0.0284,0.1072,0.69,6.42,41.49,23,evening
CMP_20240105_003,2024-01-05,Xigua,In-feed Ad,46-55 User,5600.7,455642,7569,737,378965.69,12.29,0.0166,0.0974,0.74,7.6,67.66,10,morning
CMP_20240105_004,2024-01-05,Xigua,In-feed Ad,36-45 Female,9297.52,409612,9978,1044,433792.7,22.7,0.0244,0.1047,0.93,8.91,46.66,11,morning
CMP_20240105_005,2024-01-05,Douyin,Splash Ad,36-45 Female,36992.86,1948003,50370,5537,2478377.78,18.99,0.0259,0.1099,0.73,6.68,67.0,5,late night
CMP_20240105_006,2024-01-05,Douyin,Brand Ad,46-55 User,26651.3,1038964,14922,1076,216367.0,25.65,0.0144,0.0722,1.79,24.77,8.12,11,morning
CMP_20240105_007,2024-01-05,Toutiao,Search Ad,55+ User,32965.35,2050817,30795,2314,1045573.08,16.07,0.015,0.0751,1.07,14.25,31.72,22,evening
CMP_20240105_008,2024-01-05,Xigua,In-feed Ad,36-45 Male,29749.2,1084137,18239,1946,1026401.26,27.44,0.0168,0.1067,1.63,15.29,34.5,2,late night
CMP_20240105_009,2024-01-05,Douyin,Video Ad,55+ User,40168.15,1272802,34308,3237,1297146.61,31.56,0.027,0.0944,1.17,12.41,32.29,18,evening
CMP_20240105_010,2024-01-05,Xigua,Splash Ad,36-45 Female,15123.75,580895,11557,1392,526988.77,26.04,0.0199,0.1205,1.31,10.86,34.85,18,evening
CMP_20240105_011,2024-01-05,Douyin,In-feed Ad,46-55 User,24743.51,931968,15365,1723,534346.62,26.55,0.0165,0.1122,1.61,14.36,21.6,7,morning
CMP_20240105_012,2024-01-05,Xigua,Brand Ad,36-45 Female,33134.8,1503166,29187,2315,1215410.12,22.04,0.0194,0.0793,1.14,14.31,36.68,19,evening
CMP_20240105_013,2024-01-05,Toutiao,Brand Ad,26-35 Female,39914.63,1660449,41531,3913,983889.39,24.04,0.025,0.0942,0.96,10.2,24.65,1,late night
CMP_20240105_014,2024-01-05,Toutiao,Search Ad,26-35 Male,30921.51,2265866,50576,3505,1326711.89,13.65,0.0223,0.0693,0.61,8.82,42.91,14,afternoon
CMP_20240105_015,2024-01-05,Douyin,Search Ad,36-45 Male,15316.31,520165,12733,1381,585718.91,29.45,0.0245,0.1085,1.2,11.09,38.24,10,morning
CMP_20240105_016,2024-01-05,Xigua,Search Ad,26-35 Female,9629.53,362896,9528,834,304579.31,26.54,0.0263,0.0876,1.01,11.55,31.63,11,morning
CMP_20240105_017,2024-01-05,Toutiao,Search Ad,55+ User,21717.88,996998,11267,895,521838.9,21.78,0.0113,0.0795,1.93,24.27,24.03,3,late night
CMP_20240105_018,2024-01-05,Douyin,Search Ad,55+ User,34311.52,1127743,18744,1111,207882.77,30.42,0.0166,0.0593,1.83,30.88,6.06,8,morning
CMP_20240105_019,2024-01-05,Toutiao,Brand Ad,46-55 User,7544.0,478240,5799,305,159612.07,15.77,0.0121,0.0528,1.3,24.73,21.16,21,evening
CMP_20240105_020,2024-01-05,Xigua,Brand Ad,55+ User,22844.73,1264312,21372,1319,634464.79,18.07,0.0169,0.0618,1.07,17.32,27.77,2,late night
CMP_20240105_021,2024-01-05,Xigua,Video Ad,18-25 Male,30769.06,1149499,43535,4260,1483964.24,26.77,0.0379,0.0979,0.71,7.22,48.23,11,morning
CMP_20240105_022,2024-01-05,Xigua,Brand Ad,36-45 Female,9468.0,474018,9535,1205,442261.47,19.97,0.0201,0.1265,0.99,7.86,46.71,21,evening
CMP_20240106_001,2024-01-06,Toutiao,Search Ad,18-25 Male,9587.33,350194,8307,507,100598.68,27.38,0.0237,0.0611,1.15,18.91,10.49,16,afternoon
CMP_20240106_002,2024-01-06,Xigua,In-feed Ad,55+ User,6079.37,253313,3965,405,107321.46,24.0,0.0157,0.1022,1.53,15.01,17.65,12,afternoon
CMP_20240106_003,2024-01-06,Douyin,Brand Ad,18-25 Female,18232.01,622652,22805,1990,430015.87,29.28,0.0366,0.0873,0.8,9.16,23.59,18,evening
CMP_20240106_004,2024-01-06,Xigua,Video Ad,18-25 Male,14365.25,1087612,52894,4973,1689033.94,13.21,0.0486,0.094,0.27,2.89,117.58,0,late night
CMP_20240106_005,2024-01-06,Xigua,Video Ad,55+ User,26195.14,1162018,24271,2446,735922.79,22.54,0.0209,0.1008,1.08,10.71,28.09,7,morning
CMP_20240106_006,2024-01-06,Toutiao,In-feed Ad,46-55 User,24069.41,918701,21177,2638,1534551.44,26.2,0.0231,0.1246,1.14,9.12,63.76,23,evening
CMP_20240106_007,2024-01-06,Toutiao,Brand Ad,55+ User,17695.79,779915,11074,693,351958.06,22.69,0.0142,0.0626,1.6,25.54,19.89,6,morning
CMP_20240106_008,2024-01-06,Douyin,Search Ad,26-35 Male,10524.96,323557,10817,1228,522866.81,32.53,0.0334,0.1136,0.97,8.57,49.68,10,morning
CMP_20240106_009,2024-01-06,Toutiao,Splash Ad,26-35 Male,24840.91,1525009,40498,3148,1249875.31,16.29,0.0266,0.0778,0.61,7.89,50.32,11,morning
CMP_20240106_010,2024-01-06,Xigua,Video Ad,18-25 Female,27671.78,1942995,103371,12065,4312597.04,14.24,0.0532,0.1167,0.27,2.29,155.85,16,afternoon
CMP_20240106_011,2024-01-06,Toutiao,Brand Ad,18-25 Male,12941.06,626196,18205,1001,206610.01,20.67,0.0291,0.055,0.71,12.93,15.97,3,late night
CMP_20240106_012,2024-01-06,Toutiao,Splash Ad,36-45 Male,9352.13,571754,9555,1066,331104.45,16.36,0.0167,0.1116,0.98,8.77,35.4,5,late night
CMP_20240106_013,2024-01-06,Toutiao,In-feed Ad,36-45 Male,27102.55,1072269,27425,2664,901650.5,25.28,0.0256,0.0972,0.99,10.17,33.27,5,late night
CMP_20240106_014,2024-01-06,Xigua,Splash Ad,26-35 Female,23626.04,1186738,35694,4399,1475146.4,19.91,0.0301,0.1233,0.66,5.37,62.44,13,afternoon
CMP_20240106_015,2024-01-06,Toutiao,Video Ad,36-45 Female,30307.24,2274502,51476,4209,1660118.14,13.32,0.0226,0.0818,0.59,7.2,54.78,3,late night
CMP_20240106_016,2024-01-06,Douyin,Brand Ad,46-55 User,32468.21,955336,18431,2063,453414.34,33.99,0.0193,0.112,1.76,15.74,13.96,3,late night
CMP_20240106_017,2024-01-06,Xigua,Video Ad,26-35 Male,22447.42,1750584,70760,10418,3264764.43,12.82,0.0404,0.1472,0.32,2.15,145.44,20,evening
CMP_20240106_018,2024-01-06,Douyin,In-feed Ad,55+ User,37768.49,1516208,32813,4161,1123994.04,24.91,0.0216,0.1268,1.15,9.08,29.76,4,late night
CMP_20240106_019,2024-01-06,Xigua,Splash Ad,26-35 Female,15190.19,1128097,38467,3082,1464056.84,13.47,0.0341,0.0801,0.39,4.93,96.38,14,afternoon
CMP_20240106_020,2024-01-06,Toutiao,Brand Ad,55+ User,26641.13,1103400,19357,1497,959348.28,24.14,0.0175,0.0774,1.38,17.8,36.01,11,morning
CMP_20240106_021,2024-01-06,Xigua,Brand Ad,18-25 Female,5599.47,246469,6424,542,197221.26,22.72,0.0261,0.0844,0.87,10.33,35.22,21,evening
CMP_20240106_022,2024-01-06,Toutiao,Search Ad,46-55 User,14001.91,522647,10000,905,398613.17,26.79,0.0191,0.0906,1.4,15.47,28.47,6,morning
CMP_20240106_023,2024-01-06,Xigua,Splash Ad,26-35 Male,29696.38,2358330,68159,5419,1159806.83,12.59,0.0289,0.0795,0.44,5.48,39.06,4,late night
CMP_20240106_024,2024-01-06,Xigua,Splash Ad,46-55 User,16539.05,781661,15526,1310,590613.2,21.16,0.0199,0.0844,1.07,12.63,35.71,0,late night
CMP_20240107_001,2024-01-07,Toutiao,Splash Ad,46-55 User,20091.89,721549,9294,539,221502.29,27.85,0.0129,0.058,2.16,37.28,11.02,6,morning
CMP_20240107_002,2024-01-07,Toutiao,Video Ad,36-45 Male,31385.97,1702899,34966,3364,2216523.32,18.43,0.0205,0.0962,0.9,9.33,70.62,9,morning
CMP_20240107_003,2024-01-07,Toutiao,In-feed Ad,46-55 User,18590.21,781058,15765,1328,467481.32,23.8,0.0202,0.0843,1.18,14.0,25.15,3,late night
CMP_20240107_004,2024-01-07,Toutiao,Search Ad,18-25 Male,13258.83,499100,11268,555,130376.89,26.57,0.0226,0.0493,1.18,23.89,9.83,4,late night
CMP_20240107_005,2024-01-07,Douyin,Search Ad,26-35 Male,31484.94,908745,33155,3558,1615268.1,34.65,0.0365,0.1073,0.95,8.85,51.3,6,morning
CMP_20240107_006,2024-01-07,Xigua,Video Ad,36-45 Male,24139.05,1111180,36989,4690,1310462.37,21.72,0.0333,0.1268,0.65,5.15,54.29,16,afternoon
CMP_20240107_007,2024-01-07,Toutiao,Brand Ad,55+ User,15954.63,1234355,23602,2076,1309551.87,12.93,0.0191,0.088,0.68,7.69,82.08,9,morning
CMP_20240107_008,2024-01-07,Xigua,Splash Ad,18-25 Female,25576.64,1768500,63498,4250,823509.63,14.46,0.0359,0.0669,0.4,6.02,32.2,8,morning
CMP_20240107_009,2024-01-07,Toutiao,Search Ad,18-25 Female,19924.99,1091258,28752,1970,359861.46,18.26,0.0263,0.0685,0.69,10.11,18.06,9,morning
CMP_20240107_010,2024-01-07,Douyin,In-feed Ad,36-45 Male,38084.57,1846272,43045,4993,1912843.53,20.63,0.0233,0.116,0.88,7.63,50.23,17,afternoon
CMP_20240107_011,2024-01-07,Toutiao,Search Ad,26-35 Female,7050.35,267955,8517,557,285742.95,26.31,0.0318,0.0654,0.83,12.66,40.53,18,evening
CMP_20240107_012,2024-01-07,Toutiao,Brand Ad,55+ User,27498.14,1328383,24505,1998,917367.27,20.7,0.0184,0.0815,1.12,13.76,33.36,0,late night
CMP_20240107_013,2024-01-07,Xigua,Brand Ad,55+ User,25959.25,1022331,19535,1785,780897.96,25.39,0.0191,0.0914,1.33,14.54,30.08,6,morning
CMP_20240107_014,2024-01-07,Douyin,Brand Ad,36-45 Male,44232.96,2838184,83008,7097,2261918.39,15.58,0.0292,0.0855,0.53,6.23,51.14,17,afternoon
CMP_20240107_015,2024-01-07,Toutiao,Search Ad,36-45 Male,12571.47,833092,14376,1151,508267.66,15.09,0.0173,0.0801,0.87,10.92,40.43,1,late night
CMP_20240107_016,2024-01-07,Douyin,Brand Ad,55+ User,9814.13,324750,6643,746,216382.09,30.22,0.0205,0.1124,1.48,13.16,22.05,4,late night
CMP_20240107_017,2024-01-07,Douyin,Video Ad,26-35 Female,35954.86,2198167,94054,11563,2156932.22,16.36,0.0428,0.1229,0.38,3.11,59.99,0,late night
CMP_20240107_018,2024-01-07,Toutiao,Splash Ad,55+ User,4692.46,180864,3463,317,149672.42,25.94,0.0191,0.0916,1.36,14.8,31.9,11,morning
CMP_20240107_019,2024-01-07,Xigua,Search Ad,26-35 Male,29466.9,1641670,51513,4161,768864.82,17.95,0.0314,0.0808,0.57,7.08,26.09,1,late night
CMP_20240107_020,2024-01-07,Douyin,Video Ad,18-25 Male,9598.71,299172,14606,1383,265385.09,32.08,0.0488,0.0947,0.66,6.94,27.65,14,afternoon
CMP_20240107_021,2024-01-07,Toutiao,Video Ad,36-45 Female,7859.4,303582,7820,542,319698.43,25.89,0.0258,0.0694,1.01,14.5,40.68,4,late night
CMP_20240107_022,2024-01-07,Xigua,Video Ad,36-45 Female,27562.92,1444841,46466,6773,3469668.66,19.08,0.0322,0.1458,0.59,4.07,125.88,2,late night
CMP_20240107_023,2024-01-07,Douyin,In-feed Ad,55+ User,21583.69,668491,13309,2250,569320.72,32.29,0.0199,0.1691,1.62,9.59,26.38,20,evening
CMP_20240107_024,2024-01-07,Xigua,Brand Ad,36-45 Female,20440.99,1663790,44501,4344,2631854.92,12.29,0.0267,0.0976,0.46,4.71,128.75,19,evening
CMP_20240108_001,2024-01-08,Toutiao,In-feed Ad,36-45 Female,28365.92,1502042,34983,4698,1361078.89,18.88,0.0233,0.1343,0.81,6.04,47.98,20,evening
CMP_20240108_002,2024-01-08,Toutiao,Brand Ad,55+ User,19843.15,1628365,18898,1149,483769.49,12.19,0.0116,0.0608,1.05,17.27,24.38,10,morning
CMP_20240108_003,2024-01-08,Douyin,In-feed Ad,18-25 Male,47869.19,1443740,47197,5859,804633.92,33.16,0.0327,0.1241,1.01,8.17,16.81,13,afternoon
CMP_20240108_004,2024-01-08,Xigua,Video Ad,26-35 Female,14726.51,603227,26230,2664,1022862.98,24.41,0.0435,0.1016,0.56,5.53,69.46,0,late night
CMP_20240108_005,2024-01-08,Douyin,Video Ad,18-25 Female,22861.55,1294955,58650,5079,1337395.76,17.65,0.0453,0.0866,0.39,4.5,58.5,22,evening
CMP_20240108_006,2024-01-08,Douyin,Brand Ad,36-45 Male,36791.41,2353637,62197,4547,1757098.62,15.63,0.0264,0.0731,0.59,8.09,47.76,7,morning
CMP_20240108_007,2024-01-08,Toutiao,Video Ad,36-45 Female,31986.64,1467537,27563,2652,1286071.08,21.8,0.0188,0.0962,1.16,12.06,40.21,21,evening
CMP_20240108_008,2024-01-08,Toutiao,Brand Ad,46-55 User,22476.9,948175,11052,528,161862.69,23.71,0.0117,0.0479,2.03,42.57,7.2,12,afternoon
CMP_20240108_009,2024-01-08,Xigua,Splash Ad,26-35 Male,34251.82,1969589,41603,4211,1657003.92,17.39,0.0211,0.1012,0.82,8.13,48.38,17,afternoon
CMP_20240108_010,2024-01-08,Toutiao,Splash Ad,26-35 Male,11452.83,409888,10730,874,258837.39,27.94,0.0262,0.0815,1.07,13.1,22.6,21,evening
CMP_20240108_011,2024-01-08,Xigua,In-feed Ad,46-55 User,18341.31,708367,11900,1022,350501.4,25.89,0.0168,0.0859,1.54,17.95,19.11,11,morning
CMP_20240108_012,2024-01-08,Toutiao,Video Ad,26-35 Female,4484.04,173312,4129,321,147053.42,25.87,0.0238,0.0778,1.09,13.97,32.79,1,late night
CMP_20240108_013,2024-01-08,Xigua,Splash Ad,26-35 Female,17073.35,1039204,27381,3181,849247.06,16.43,0.0263,0.1162,0.62,5.37,49.74,7,morning
CMP_20240108_014,2024-01-08,Douyin,In-feed Ad,26-35 Male,39920.01,1727674,49446,7366,1975622.87,23.11,0.0286,0.149,0.81,5.42,49.49,4,late night
